population,density,St,lat,long,latitudeGrid,longitudeGrid
541,221.7,Pennsylvania,40.0215,-76.7266,40.0,-76.7
11943,232.0,Pennsylvania,40.1545,-76.8019,40.2,-76.8
2348,53.0,Pennsylvania,39.751,-76.4392,39.8,-76.4
5910,60.8,Pennsylvania,39.836,-76.5937,39.8,-76.6
5910,60.8,Pennsylvania,40.075,-77.0279,40.1,-77.0
7568,63.6,Pennsylvania,39.7813,-76.7477,39.8,-76.7
2453,58.9,Pennsylvania,39.757,-76.8153,39.8,-76.8
51636,256.0,Pennsylvania,39.7943,-76.9812,39.8,-77.0
51636,256.0,Pennsylvania,39.8007,-76.983,39.8,-77.0
51636,256.0,Pennsylvania,39.8007,-76.983,39.8,-77.0
51636,256.0,Pennsylvania,39.805,-76.9736,39.8,-77.0
51636,256.0,Pennsylvania,39.8144,-76.9837,39.8,-77.0
6935,95.5,Pennsylvania,40.1463,-76.87,40.1,-76.9
10884,108.7,Pennsylvania,39.8536,-76.708,39.9,-76.7
7829,293.8,Pennsylvania,40.0695,-76.7332,40.1,-76.7
6697,174.3,Pennsylvania,40.0711,-76.6966,40.1,-76.7
7154,140.8,Pennsylvania,39.7423,-76.6841,39.7,-76.7
1252,36.2,Pennsylvania,39.76,-76.5042,39.8,-76.5
3456,30.5,Pennsylvania,39.8246,-76.8993,39.8,-76.9
274,165.1,Pennsylvania,39.7573,-76.6994,39.8,-76.7
21630,256.6,Pennsylvania,39.9026,-76.6081,39.9,-76.6
21630,256.6,Pennsylvania,39.973,-76.6878,40.0,-76.7
6835,85.2,Pennsylvania,39.8556,-76.7383,39.9,-76.7
6511,718.6,Pennsylvania,39.7601,-76.6748,39.8,-76.7
13300,107.3,Pennsylvania,39.8572,-76.8774,39.9,-76.9
9406,96.6,Pennsylvania,39.772,-76.597,39.8,-76.6
3732,90.3,Pennsylvania,39.9346,-76.8822,39.9,-76.9
2427,48.9,Pennsylvania,40.0557,-76.9443,40.1,-76.9
5332,188.5,Pennsylvania,39.9233,-76.5591,39.9,-76.6
7395,154.2,Pennsylvania,39.9966,-76.527,40.0,-76.5
5041,194.9,Pennsylvania,40.1222,-76.7737,40.1,-76.8
261,496.1,Pennsylvania,39.9006,-76.7896,39.9,-76.8
17766,4753.3,Pennsylvania,39.9635,-76.7269,40.0,-76.7
37476,729.4,Pennsylvania,39.959,-76.6592,40.0,-76.7
39641,738.0,Pennsylvania,39.9494,-76.713,39.9,-76.7
35414,647.7,Pennsylvania,40.0023,-76.7712,40.0,-76.8
35414,647.7,Pennsylvania,40.0086,-76.5972,40.0,-76.6
23710,172.6,Pennsylvania,40.0046,-76.5947,40.0,-76.6
2226,636.0,Pennsylvania,39.8833,-76.712,39.9,-76.7
23512,335.9,Pennsylvania,39.9492,-76.8018,39.9,-76.8
1163,14.6,Pennsylvania,41.3756,-75.548,41.4,-75.5
57,78.4,Pennsylvania,41.5981,-75.7146,41.6,-75.7
6624,90.7,Pennsylvania,41.5744,-75.5881,41.6,-75.6
3899,243.6,Pennsylvania,41.4724,-75.5689,41.5,-75.6
502,6.3,Pennsylvania,41.5516,-75.7676,41.6,-75.8
13615,45.4,Pennsylvania,41.3432,-75.5301,41.3,-75.5
10045,198.6,Pennsylvania,41.4677,-75.6015,41.5,-75.6
10045,198.6,Pennsylvania,41.4649,-75.5962,41.5,-75.6
4880,942.7,Pennsylvania,41.4821,-75.5899,41.5,-75.6
663,95.7,Pennsylvania,41.5238,-75.6906,41.5,-75.7
763,153.4,Pennsylvania,41.4019,-75.6376,41.4,-75.6
763,153.4,Pennsylvania,41.4092,-75.6649,41.4,-75.7
1158,985.6,Pennsylvania,41.4095,-75.6642,41.4,-75.7
20531,952.4,Pennsylvania,41.4128,-75.6861,41.4,-75.7
20606,934.1,Pennsylvania,41.3914,-75.6657,41.4,-75.7
5165,194.1,Pennsylvania,41.3554,-75.6805,41.4,-75.7
13182,697.6,Pennsylvania,41.4389,-75.6625,41.4,-75.7
13744,1827.9,Pennsylvania,41.4274,-75.6465,41.4,-75.6
13443,2541.1,Pennsylvania,41.408,-75.6484,41.4,-75.6
12005,421.5,Pennsylvania,41.435,-75.6103,41.4,-75.6
12005,421.5,Pennsylvania,41.4035,-75.7065,41.4,-75.7
5301,485.7,Pennsylvania,41.3904,-75.7158,41.4,-75.7
8038,794.2,Pennsylvania,41.3701,-75.7391,41.4,-75.7
4754,818.5,Pennsylvania,41.4092,-75.6649,41.4,-75.7
4754,818.5,Pennsylvania,41.4019,-75.6376,41.4,-75.6
4754,818.5,Pennsylvania,41.4019,-75.6376,41.4,-75.6
233,206.2,Pennsylvania,41.3945,-75.8242,41.4,-75.8
30556,207.8,Pennsylvania,40.1553,-76.6025,40.2,-76.6
4251,1194.9,Pennsylvania,40.1573,-76.2042,40.2,-76.2
2750,96.1,Pennsylvania,40.1086,-76.6726,40.1,-76.7
2750,96.1,Pennsylvania,40.0185,-76.2976,40.0,-76.3
2750,96.1,Pennsylvania,40.024,-76.3281,40.0,-76.3
1837,99.9,Pennsylvania,40.0561,-76.183,40.1,-76.2
1837,99.9,Pennsylvania,40.1173,-76.0524,40.1,-76.1
30,1124.8,Pennsylvania,40.1966,-76.016,40.2,-76.0
530,1106.5,Pennsylvania,40.124,-76.2176,40.1,-76.2
5068,69.8,Pennsylvania,39.904,-76.0401,39.9,-76.0
17701,423.0,Pennsylvania,40.0391,-76.4862,40.0,-76.5
4286,83.5,Pennsylvania,39.9403,-76.3575,39.9,-76.4
16501,169.9,Pennsylvania,40.2297,-76.1157,40.2,-76.1
1643,37.0,Pennsylvania,39.8183,-76.2499,39.8,-76.2
7147,118.8,Pennsylvania,40.1395,-76.0276,40.1,-76.0
4696,970.1,Pennsylvania,40.1008,-76.3512,40.1,-76.4
4696,970.1,Pennsylvania,40.2044,-76.3464,40.2,-76.3
33978,287.0,Pennsylvania,40.1756,-76.1821,40.2,-76.2
6310,114.9,Pennsylvania,40.002,-75.9978,40.0,-76.0
6310,114.9,Pennsylvania,40.1257,-76.0033,40.1,-76.0
4370,106.2,Pennsylvania,40.0353,-76.1106,40.0,-76.1
2848,61.6,Pennsylvania,39.8631,-76.3008,39.9,-76.3
2848,61.6,Pennsylvania,40.2339,-76.2607,40.2,-76.3
2848,61.6,Pennsylvania,40.0367,-76.1069,40.0,-76.1
2655,87.6,Pennsylvania,40.0053,-76.0493,40.0,-76.0
2725,50.6,Pennsylvania,39.8257,-76.0933,39.8,-76.1
2725,50.6,Pennsylvania,39.9885,-76.2387,40.0,-76.2
6435,608.1,Pennsylvania,40.0892,-76.4156,40.1,-76.4
10773,193.1,Pennsylvania,40.0964,-76.1921,40.1,-76.2
44216,237.4,Pennsylvania,40.1846,-76.3015,40.2,-76.3
21897,115.7,Pennsylvania,40.1702,-76.4168,40.2,-76.4
7381,237.4,Pennsylvania,40.0664,-76.5645,40.1,-76.6
7381,237.4,Pennsylvania,40.1545,-76.0876,40.2,-76.1
889,1737.6,Pennsylvania,40.0754,-76.5822,40.1,-76.6
11411,415.6,Pennsylvania,39.9982,-76.3566,40.0,-76.4
19845,212.2,Pennsylvania,40.1083,-76.5103,40.1,-76.5
7794,927.7,Pennsylvania,40.0427,-76.4277,40.0,-76.4
7431,83.2,Pennsylvania,40.1252,-75.9756,40.1,-76.0
14298,164.3,Pennsylvania,40.1005,-76.0801,40.1,-76.1
4644,123.1,Pennsylvania,39.9098,-76.2243,39.9,-76.2
4546,100.9,Pennsylvania,39.9852,-76.1081,40.0,-76.1
4080,47.1,Pennsylvania,39.7705,-76.1791,39.8,-76.2
4080,47.1,Pennsylvania,40.0185,-76.2976,40.0,-76.3
2758,71.1,Pennsylvania,39.9058,-76.3209,39.9,-76.3
12567,79.5,Pennsylvania,39.8949,-76.1465,39.9,-76.1
12567,79.5,Pennsylvania,40.2099,-76.1164,40.2,-76.1
12567,79.5,Pennsylvania,39.9469,-76.2322,39.9,-76.2
6441,128.6,Pennsylvania,40.2688,-76.1013,40.3,-76.1
206,1626.6,Pennsylvania,40.1301,-76.5705,40.1,-76.6
4893,85.6,Pennsylvania,40.0208,-76.1661,40.0,-76.2
4893,85.6,Pennsylvania,40.0262,-76.1686,40.0,-76.2
4893,85.6,Pennsylvania,40.0647,-76.4343,40.1,-76.4
271,975.0,Pennsylvania,40.0376,-76.1969,40.0,-76.2
7188,188.7,Pennsylvania,40.2194,-76.1626,40.2,-76.2
6302,164.6,Pennsylvania,39.9701,-76.1848,40.0,-76.2
6302,164.6,Pennsylvania,40.1168,-76.2131,40.1,-76.2
846,1096.8,Pennsylvania,40.1585,-76.0511,40.2,-76.1
2273,88.1,Pennsylvania,39.9881,-76.4402,40.0,-76.4
2273,88.1,Pennsylvania,39.9723,-76.2873,40.0,-76.3
10085,238.6,Pennsylvania,39.967,-76.2752,40.0,-76.3
10085,238.6,Pennsylvania,40.0484,-76.2114,40.0,-76.2
52301,576.9,Pennsylvania,40.0766,-76.3107,40.1,-76.3
51069,789.8,Pennsylvania,40.0335,-76.2844,40.0,-76.3
64494,802.8,Pennsylvania,40.0091,-76.3671,40.0,-76.4
64494,802.8,Pennsylvania,40.0651,-76.3356,40.1,-76.3
64494,802.8,Pennsylvania,40.0185,-76.2976,40.0,-76.3
416,3226.5,Pennsylvania,40.1102,-76.3054,40.1,-76.3
416,3226.5,Pennsylvania,40.0185,-76.2976,40.0,-76.3
416,3226.5,Pennsylvania,40.0185,-76.2976,40.0,-76.3
416,3226.5,Pennsylvania,40.0379,-76.3055,40.0,-76.3
416,3226.5,Pennsylvania,40.0418,-76.3012,40.0,-76.3
416,3226.5,Pennsylvania,40.0185,-76.2976,40.0,-76.3
1098,400.7,Pennsylvania,40.2423,-76.0577,40.2,-76.1
32486,184.5,Pennsylvania,40.9922,-80.3284,41.0,-80.3
5967,92.4,Pennsylvania,40.9677,-80.3907,41.0,-80.4
5967,92.4,Pennsylvania,40.9897,-80.3084,41.0,-80.3
15289,217.4,Pennsylvania,41.0241,-80.3454,41.0,-80.3
15289,217.4,Pennsylvania,40.9897,-80.3084,41.0,-80.3
15289,217.4,Pennsylvania,40.9897,-80.3084,41.0,-80.3
1588,90.2,Pennsylvania,40.9755,-80.4937,41.0,-80.5
2894,44.9,Pennsylvania,41.0276,-80.4632,41.0,-80.5
16974,180.3,Pennsylvania,40.8729,-80.2559,40.9,-80.3
2137,28.7,Pennsylvania,40.8721,-80.4612,40.9,-80.5
352,77.4,Pennsylvania,41.0113,-80.4975,41.0,-80.5
20,275.6,Pennsylvania,41.0973,-80.5048,41.1,-80.5
6968,65.0,Pennsylvania,41.1382,-80.3245,41.1,-80.3
2678,42.9,Pennsylvania,41.0942,-80.4685,41.1,-80.5
124,58.7,Pennsylvania,41.0737,-80.5073,41.1,-80.5
2889,25.7,Pennsylvania,41.0938,-80.2441,41.1,-80.2
3076,53.6,Pennsylvania,40.8819,-80.3392,40.9,-80.3
808,267.2,Pennsylvania,40.9301,-80.3611,40.9,-80.4
680,281.5,Pennsylvania,41.12,-80.3332,41.1,-80.3
11543,95.2,Pennsylvania,40.3456,-76.5447,40.3,-76.5
302,2039.1,Pennsylvania,40.2776,-76.5852,40.3,-76.6
890,425.7,Pennsylvania,40.2755,-76.4053,40.3,-76.4
3755,62.2,Pennsylvania,40.4524,-76.4267,40.5,-76.4
8779,44.0,Pennsylvania,40.4361,-76.5038,40.4,-76.5
64,23.8,Pennsylvania,40.3005,-76.2584,40.3,-76.3
248,146.1,Pennsylvania,40.2236,-76.538,40.2,-76.5
38072,216.7,Pennsylvania,40.3316,-76.3976,40.3,-76.4
30815,300.8,Pennsylvania,40.3812,-76.4368,40.4,-76.4
806,210.2,Pennsylvania,40.2476,-76.4711,40.2,-76.5
15259,112.0,Pennsylvania,40.3789,-76.3143,40.4,-76.3
5639,78.3,Pennsylvania,40.3495,-76.2133,40.3,-76.2
93,4950.0,Pennsylvania,40.4029,-76.5347,40.4,-76.5
21391,258.1,Pennsylvania,40.3011,-76.5886,40.3,-76.6
51,1177.5,Pennsylvania,40.2796,-76.4397,40.3,-76.4
4423,52.4,Pennsylvania,40.2771,-76.3857,40.3,-76.4
2659,87.1,Pennsylvania,40.3806,-76.2654,40.4,-76.3
1037,173.9,Pennsylvania,40.2984,-76.2944,40.3,-76.3
5593,127.6,Pennsylvania,40.5145,-75.6029,40.5,-75.6
21044,570.9,Pennsylvania,40.6259,-75.3705,40.6,-75.4
9974,212.8,Pennsylvania,40.5526,-75.6553,40.6,-75.7
9391,1784.4,Pennsylvania,40.6557,-75.4693,40.7,-75.5
9094,281.2,Pennsylvania,40.5396,-75.4242,40.5,-75.4
13558,169.0,Pennsylvania,40.5076,-75.3888,40.5,-75.4
7875,374.1,Pennsylvania,40.6701,-75.4955,40.7,-75.5
53,1354.2,Pennsylvania,40.5476,-75.5613,40.5,-75.6
17549,446.5,Pennsylvania,40.5293,-75.501,40.5,-75.5
3670,153.6,Pennsylvania,40.593,-75.6568,40.6,-75.7
27568,819.8,Pennsylvania,40.6567,-75.5041,40.7,-75.5
2145,55.9,Pennsylvania,40.7118,-75.7147,40.7,-75.7
1119,294.3,Pennsylvania,40.7177,-75.5335,40.7,-75.5
1119,294.3,Pennsylvania,40.509,-75.4471,40.5,-75.4
25998,441.3,Pennsylvania,40.5285,-75.5666,40.5,-75.6
25907,242.1,Pennsylvania,40.6967,-75.6116,40.7,-75.6
