latitudeGrid,longitudeGrid,year,sightingCount
39.9,-75.6,2018,1
39.9,-75.4,2018,1
39.9,-75.3,2018,2
39.9,-75.2,2018,4
40.0,-80.0,2018,1
40.0,-78.6,2018,1
40.0,-78.2,2018,2
40.0,-76.8,2018,1
40.0,-75.2,2018,2
40.0,-75.1,2018,4
40.1,-76.4,2018,1
40.1,-76.3,2018,3
40.1,-75.5,2018,1
40.1,-75.3,2018,1
40.1,-75.2,2018,1
40.2,-76.0,2018,1
40.2,-75.8,2018,1
40.2,-75.5,2018,1
40.2,-75.2,2018,1
40.3,-80.2,2018,1
40.3,-80.0,2018,1
40.3,-79.9,2018,1
40.3,-79.4,2018,1
40.3,-76.6,2018,1
40.3,-75.2,2018,2
40.4,-80.1,2018,1
40.4,-80.0,2018,7
40.4,-79.9,2018,2
40.4,-79.8,2018,1
40.4,-79.0,2018,1
40.5,-80.1,2018,2
40.5,-80.0,2018,1
40.6,-80.2,2018,1
40.6,-75.5,2018,1
40.7,-80.0,2018,1
40.7,-79.9,2018,1
40.7,-79.6,2018,1
40.7,-79.5,2018,1
40.8,-77.9,2018,3
40.8,-77.8,2018,2
41.0,-75.2,2018,1
41.1,-77.6,2018,1
41.2,-79.8,2018,1
41.5,-75.7,2018,1
41.8,-79.1,2018,1
41.8,-76.8,2018,1
41.9,-79.2,2018,1
42.2,-79.9,2018,1
