year,latitude,longitude,estimated_woodchuck_population,VOLCF_AC_UNADJ,wood_chucked_per_woodchuck_lbs,total_wood_chucked_lbs
2018,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2019,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2020,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2021,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2022,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2023,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2024,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2025,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2026,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2027,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2028,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2029,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2030,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2031,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2032,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2033,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2034,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2035,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2036,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2037,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2038,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2039,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2040,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2041,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
