year,month,latitude,longitude,estimated_woodchuck_population
2025,4,39.6,-77.3,2.0
2025,6,39.7,-79.4,2.0
2025,6,39.8,-79.4,2.0
2025,7,39.8,-79.4,2.0
2025,4,39.8,-77.6,2.0
2025,5,39.8,-77.4,2.0
2025,9,39.8,-76.9,2.0
2025,5,39.8,-76.7,2.0
2025,8,39.8,-76.7,2.0
2025,5,39.8,-76.6,2.0
2025,6,39.8,-76.6,2.0
2025,4,39.8,-75.9,2.0
2025,6,39.8,-75.9,2.0
2025,7,39.8,-75.8,2.0
2025,10,39.9,-80.1,2.0
2025,7,39.9,-79.8,2.0
2025,6,39.9,-79.3,2.0
2025,8,39.9,-79.1,2.0
2025,6,39.9,-77.5,2.0
2025,6,39.9,-77.0,4.0
2025,6,39.9,-76.8,2.0
2025,4,39.9,-76.7,2.0
2025,6,39.9,-76.7,2.0
2025,7,39.9,-76.7,2.0
2025,8,39.9,-76.7,2.0
2025,9,39.9,-76.7,2.0
2025,10,39.9,-76.7,2.0
2025,6,39.9,-76.4,2.0
2025,7,39.9,-76.4,2.0
2025,10,39.9,-76.3,2.0
2025,8,39.9,-75.9,2.0
2025,6,39.9,-75.8,2.0
2025,7,39.9,-75.8,2.0
2025,6,39.9,-75.6,2.0
2025,8,39.9,-75.6,4.0
2025,4,39.9,-75.5,4.0
2025,8,39.9,-75.5,2.0
2025,4,39.9,-75.4,2.0
2025,5,39.9,-75.4,4.0
2025,6,39.9,-75.4,2.0
2025,7,39.9,-75.4,2.0
2025,2,39.9,-75.3,2.0
2025,4,39.9,-75.3,4.0
2025,5,39.9,-75.3,4.0
2025,7,39.9,-75.3,2.0
2025,8,39.9,-75.3,2.0
2025,2,39.9,-75.2,2.0
2025,3,39.9,-75.2,2.0
2025,4,39.9,-75.2,10.0
2025,5,39.9,-75.2,24.0
2025,6,39.9,-75.2,8.0
2025,7,39.9,-75.2,12.0
2025,9,39.9,-75.2,6.0
2025,10,39.9,-75.2,2.0
2025,8,40.0,-79.7,2.0
2025,6,40.0,-77.3,2.0
2025,3,40.0,-76.8,2.0
2025,9,40.0,-76.7,2.0
2025,9,40.0,-76.4,2.0
2025,6,40.0,-75.9,2.0
2025,6,40.0,-75.8,2.0
