lat,long,year,VOLCF_AC_UNADJ
39.9,-80.2,2018,507.31115979375
40.0,-79.0,2018,1067.10278439375
40.0,-77.7,2018,198.2595337125
40.0,-75.7,2018,17.49348826875
40.1,-78.4,2018,1424.74743344375
40.2,-80.1,2018,97.1860459375
40.4,-78.4,2018,773.6009256625
40.4,-78.0,2018,962.14185478125
40.4,-77.2,2018,863.012087925
40.4,-75.9,2018,717.2330190187499
40.5,-80.0,2018,361.5320908875
40.5,-78.7,2018,534.52325265625
40.6,-77.7,2018,1127.358132875
40.7,-80.3,2018,460.66185774375003
40.7,-76.2,2018,75.80511583124999
40.8,-77.0,2018,1104.03348185
40.9,-79.9,2018,561.73534551875
40.9,-78.4,2018,966.02929661875
40.9,-77.8,2018,495.64883428125
40.9,-77.0,2018,221.58418473749998
40.9,-75.8,2018,114.67953420625
41.0,-80.4,2018,322.65767251249997
41.1,-79.0,2018,235.19023116875
41.2,-77.5,2018,1657.99394369375
41.2,-76.0,2018,303.220463325
41.3,-77.0,2018,587.0037174624999
41.4,-79.7,2018,237.1339520875
41.4,-78.6,2018,2542.3869617249998
41.4,-75.7,2018,217.6967429
41.5,-79.3,2018,1245.92510891875
41.5,-76.5,2018,141.89162706874998
41.6,-75.9,2018,927.15487824375
41.6,-75.3,2018,141.89162706874998
41.7,-80.1,2018,940.760924675
41.8,-79.3,2018,794.98185576875
41.8,-78.6,2018,1030.1720869375
41.8,-77.9,2018,511.19860163124997
41.8,-76.5,2018,919.37999456875
39.9,-76.7,2019,458.718136825
40.0,-79.0,2019,466.4930205
40.0,-77.7,2019,1014.6223195875
40.2,-77.1,2019,17.49348826875
40.3,-79.5,2019,1072.93394715
40.3,-76.8,2019,682.24604248125
40.4,-78.0,2019,17.49348826875
40.4,-75.9,2019,101.07348777499999
40.5,-78.7,2019,404.29395109999996
40.6,-77.7,2019,3006.93626130625
40.6,-77.4,2019,447.0558113125
40.8,-79.5,2019,581.17255470625
40.9,-78.4,2019,793.03813485
40.9,-77.8,2019,826.08139046875
41.0,-76.4,2019,532.5795317375
41.1,-75.3,2019,412.06883477499997
41.2,-77.5,2019,977.69162213125
41.2,-76.0,2019,849.40604149375
41.3,-77.0,2019,1105.97720276875
41.3,-75.0,2019,128.2855806375
41.4,-78.6,2019,204.09069646875
41.4,-78.2,2019,1395.5916196624999
41.6,-75.3,2019,2771.7460301375
41.8,-78.6,2019,705.57069350625
41.8,-77.9,2019,483.98650876875
41.8,-77.2,2019,960.1981338625
41.8,-76.5,2019,822.19394863125
41.8,-75.8,2019,221.58418473749998
42.1,-80.1,2019,794.9818557687499
39.9,-80.2,2020,180.76604544375
39.9,-79.7,2020,1364.4920849625
40.0,-77.7,2020,598.666042975
40.1,-78.4,2020,272.12092862500003
40.3,-79.5,2020,592.8348802187501
40.4,-75.9,2020,1360.604643125
40.6,-77.4,2020,608.38464756875
40.8,-79.5,2020,194.372091875
40.8,-77.0,2020,312.93906791874997
40.9,-78.4,2020,363.47581180625
40.9,-75.8,2020,188.54092911875
41.2,-77.5,2020,1949.55208150625
41.2,-76.0,2020,176.87860360625
41.3,-80.3,2020,314.8827888375
41.3,-75.0,2020,439.2809276375
41.4,-79.7,2020,730.83906545
41.4,-78.6,2020,1088.4837145
41.6,-75.3,2020,2528.78091529375
41.8,-79.3,2020,262.40232403125
41.8,-77.2,2020,874.6744134375
39.9,-79.7,2021,211.86558014374998
40.0,-79.0,2021,299.3330214875
40.0,-75.7,2021,482.04278784999997
40.1,-78.4,2021,303.22046332499997
40.3,-79.5,2021,83.57999950625
40.3,-76.4,2021,206.0344173875
40.4,-78.0,2021,3413.1739333250002
40.6,-77.7,2021,66.08651123749999
40.6,-77.4,2021,48.59302296875
40.7,-80.3,2021,213.8093010625
40.7,-79.1,2021,785.2632511749999
40.7,-76.2,2021,326.54511435
