latitude,longitude,year,total_wood_chucked_lbs,type
39.9,-75.6,2021,18369.516242422316,historical
39.9,-75.6,2021,18369.516242422316,historical
39.9,-75.6,2021,18369.516242422316,historical
39.9,-75.6,2021,18369.516242422316,historical
39.9,-75.6,2021,18369.516242422316,historical
39.9,-75.6,2021,18369.516242422316,historical
39.9,-75.6,2021,18369.516242422316,historical
39.9,-75.6,2021,18369.516242422316,historical
39.9,-75.4,2021,50425.440203726896,historical
39.9,-75.4,2021,50425.440203726896,historical
39.9,-75.4,2021,50425.440203726896,historical
39.9,-75.4,2021,50425.440203726896,historical
39.9,-75.4,2021,50425.440203726896,historical
39.9,-75.4,2021,50425.440203726896,historical
39.9,-75.4,2021,50425.440203726896,historical
39.9,-75.4,2021,50425.440203726896,historical
39.9,-75.3,2021,38553.24527273316,historical
39.9,-75.3,2021,38553.24527273316,historical
39.9,-75.3,2021,38553.24527273316,historical
39.9,-75.3,2021,38553.24527273316,historical
39.9,-75.3,2021,38553.24527273316,historical
39.9,-75.3,2021,38553.24527273316,historical
39.9,-75.3,2021,38553.24527273316,historical
39.9,-75.3,2021,38553.24527273316,historical
39.9,-75.2,2021,63363.2357356998,historical
39.9,-75.2,2021,63363.2357356998,historical
39.9,-75.2,2021,63363.2357356998,historical
39.9,-75.2,2021,63363.2357356998,historical
39.9,-75.2,2021,63363.2357356998,historical
39.9,-75.2,2021,63363.2357356998,historical
39.9,-75.2,2021,63363.2357356998,historical
39.9,-75.2,2021,63363.2357356998,historical
40.0,-75.2,2021,138791.98415847984,historical
40.0,-75.2,2021,138791.98415847984,historical
40.0,-75.2,2021,138791.98415847984,historical
40.0,-75.2,2021,138791.98415847984,historical
40.0,-75.2,2021,138791.98415847984,historical
40.0,-75.2,2021,138791.98415847984,historical
40.0,-75.2,2021,138791.98415847984,historical
40.0,-75.2,2021,138791.98415847984,historical
40.1,-76.3,2021,8954.544651478362,historical
40.1,-76.3,2021,8954.544651478362,historical
40.1,-76.3,2021,8954.544651478362,historical
40.1,-76.3,2021,8954.544651478362,historical
40.1,-76.3,2021,8954.544651478362,historical
40.1,-76.3,2021,8954.544651478362,historical
40.1,-76.3,2021,8954.544651478362,historical
40.1,-76.3,2021,8954.544651478362,historical
40.1,-75.3,2021,20266.36437103331,historical
40.1,-75.3,2021,20266.36437103331,historical
40.1,-75.3,2021,20266.36437103331,historical
40.1,-75.3,2021,20266.36437103331,historical
40.1,-75.3,2021,20266.36437103331,historical
40.1,-75.3,2021,20266.36437103331,historical
40.1,-75.3,2021,20266.36437103331,historical
40.1,-75.3,2021,20266.36437103331,historical
40.1,-75.2,2021,29521.89900274935,historical
40.1,-75.2,2021,29521.89900274935,historical
40.1,-75.2,2021,29521.89900274935,historical
40.1,-75.2,2021,29521.89900274935,historical
40.1,-75.2,2021,29521.89900274935,historical
40.1,-75.2,2021,29521.89900274935,historical
40.1,-75.2,2021,29521.89900274935,historical
40.1,-75.2,2021,29521.89900274935,historical
40.3,-80.0,2021,6097.488056149015,historical
40.3,-80.0,2021,6097.488056149015,historical
40.3,-80.0,2021,6097.488056149015,historical
40.3,-80.0,2021,6097.488056149015,historical
40.3,-80.0,2021,6097.488056149015,historical
40.3,-80.0,2021,6097.488056149015,historical
40.3,-80.0,2021,6097.488056149015,historical
40.3,-80.0,2021,6097.488056149015,historical
40.3,-75.2,2021,3982.3081283014967,historical
40.3,-75.2,2021,3982.3081283014967,historical
40.3,-75.2,2021,3982.3081283014967,historical
40.3,-75.2,2021,3982.3081283014967,historical
40.3,-75.2,2021,3982.3081283014967,historical
40.3,-75.2,2021,3982.3081283014967,historical
40.3,-75.2,2021,3982.3081283014967,historical
40.3,-75.2,2021,3982.3081283014967,historical
40.4,-80.0,2021,33859.17656580283,historical
40.4,-80.0,2021,33859.17656580283,historical
40.4,-80.0,2021,33859.17656580283,historical
40.4,-80.0,2021,33859.17656580283,historical
40.4,-80.0,2021,33859.17656580283,historical
40.4,-80.0,2021,33859.17656580283,historical
40.4,-80.0,2021,33859.17656580283,historical
40.4,-80.0,2021,33859.17656580283,historical
40.4,-79.9,2021,3667.684076874577,historical
40.4,-79.9,2021,3667.684076874577,historical
40.4,-79.9,2021,3667.684076874577,historical
40.4,-79.9,2021,3667.684076874577,historical
40.4,-79.9,2021,3667.684076874577,historical
40.4,-79.9,2021,3667.684076874577,historical
40.4,-79.9,2021,3667.684076874577,historical
40.4,-79.9,2021,3667.684076874577,historical
40.5,-80.1,2021,4111.157228781981,historical
40.5,-80.1,2021,4111.157228781981,historical
40.5,-80.1,2021,4111.157228781981,historical
40.5,-80.1,2021,4111.157228781981,historical
40.5,-80.1,2021,4111.157228781981,historical
40.5,-80.1,2021,4111.157228781981,historical
40.5,-80.1,2021,4111.157228781981,historical
40.5,-80.1,2021,4111.157228781981,historical
40.5,-80.0,2021,9436.522575286346,historical
40.5,-80.0,2021,9436.522575286346,historical
40.5,-80.0,2021,9436.522575286346,historical
40.5,-80.0,2021,9436.522575286346,historical
40.5,-80.0,2021,9436.522575286346,historical
40.5,-80.0,2021,9436.522575286346,historical
40.5,-80.0,2021,9436.522575286346,historical
40.5,-80.0,2021,9436.522575286346,historical
40.8,-77.9,2021,22472.01070481237,historical
40.8,-77.9,2021,22472.01070481237,historical
40.8,-77.9,2021,22472.01070481237,historical
40.8,-77.9,2021,22472.01070481237,historical
40.8,-77.9,2021,22472.01070481237,historical
40.8,-77.9,2021,22472.01070481237,historical
40.8,-77.9,2021,22472.01070481237,historical
40.8,-77.9,2021,22472.01070481237,historical
39.9,-75.6,2022,583.3893365740066,historical
39.9,-75.6,2022,583.3893365740066,historical
39.9,-75.6,2022,583.3893365740066,historical
39.9,-75.6,2022,583.3893365740066,historical
39.9,-75.6,2022,583.3893365740066,historical
39.9,-75.6,2022,583.3893365740066,historical
39.9,-75.6,2022,583.3893365740066,historical
39.9,-75.6,2022,583.3893365740066,historical
39.9,-75.4,2022,1601.4392387191847,historical
39.9,-75.4,2022,1601.4392387191847,historical
39.9,-75.4,2022,1601.4392387191847,historical
39.9,-75.4,2022,1601.4392387191847,historical
39.9,-75.4,2022,1601.4392387191847,historical
39.9,-75.4,2022,1601.4392387191847,historical
39.9,-75.4,2022,1601.4392387191847,historical
39.9,-75.4,2022,1601.4392387191847,historical
39.9,-75.3,2022,1224.3954541651492,historical
39.9,-75.3,2022,1224.3954541651492,historical
39.9,-75.3,2022,1224.3954541651492,historical
39.9,-75.3,2022,1224.3954541651492,historical
39.9,-75.3,2022,1224.3954541651492,historical
39.9,-75.3,2022,1224.3954541651492,historical
39.9,-75.3,2022,1224.3954541651492,historical
39.9,-75.3,2022,1224.3954541651492,historical
39.9,-75.2,2022,2012.324961158466,historical
39.9,-75.2,2022,2012.324961158466,historical
39.9,-75.2,2022,2012.324961158466,historical
39.9,-75.2,2022,2012.324961158466,historical
39.9,-75.2,2022,2012.324961158466,historical
39.9,-75.2,2022,2012.324961158466,historical
39.9,-75.2,2022,2012.324961158466,historical
39.9,-75.2,2022,2012.324961158466,historical
40.0,-75.3,2022,1338.9893611289883,historical
40.0,-75.3,2022,1338.9893611289883,historical
40.0,-75.3,2022,1338.9893611289883,historical
40.0,-75.3,2022,1338.9893611289883,historical
40.0,-75.3,2022,1338.9893611289883,historical
40.0,-75.3,2022,1338.9893611289883,historical
40.0,-75.3,2022,1338.9893611289883,historical
40.0,-75.3,2022,1338.9893611289883,historical
40.0,-75.2,2022,4407.833199930171,historical
40.0,-75.2,2022,4407.833199930171,historical
40.0,-75.2,2022,4407.833199930171,historical
40.0,-75.2,2022,4407.833199930171,historical
40.0,-75.2,2022,4407.833199930171,historical
40.0,-75.2,2022,4407.833199930171,historical
40.0,-75.2,2022,4407.833199930171,historical
40.0,-75.2,2022,4407.833199930171,historical
40.1,-75.5,2022,273.9935592818426,historical
40.1,-75.5,2022,273.9935592818426,historical
40.1,-75.5,2022,273.9935592818426,historical
40.1,-75.5,2022,273.9935592818426,historical
40.1,-75.5,2022,273.9935592818426,historical
40.1,-75.5,2022,273.9935592818426,historical
40.1,-75.5,2022,273.9935592818426,historical
40.1,-75.5,2022,273.9935592818426,historical
40.1,-75.4,2022,617.4524635957582,historical
40.1,-75.4,2022,617.4524635957582,historical
40.1,-75.4,2022,617.4524635957582,historical
40.1,-75.4,2022,617.4524635957582,historical
40.1,-75.4,2022,617.4524635957582,historical
40.1,-75.4,2022,617.4524635957582,historical
40.1,-75.4,2022,617.4524635957582,historical
40.1,-75.4,2022,617.4524635957582,historical
40.1,-75.3,2022,643.6304968053493,historical
40.1,-75.3,2022,643.6304968053493,historical
40.1,-75.3,2022,643.6304968053493,historical
40.1,-75.3,2022,643.6304968053493,historical
40.1,-75.3,2022,643.6304968053493,historical
40.1,-75.3,2022,643.6304968053493,historical
40.1,-75.3,2022,643.6304968053493,historical
40.1,-75.3,2022,643.6304968053493,historical
40.1,-75.2,2022,937.5729249660236,historical
40.1,-75.2,2022,937.5729249660236,historical
40.1,-75.2,2022,937.5729249660236,historical
40.1,-75.2,2022,937.5729249660236,historical
40.1,-75.2,2022,937.5729249660236,historical
40.1,-75.2,2022,937.5729249660236,historical
40.1,-75.2,2022,937.5729249660236,historical
40.1,-75.2,2022,937.5729249660236,historical
40.1,-75.0,2022,1030.9027844015425,historical
40.1,-75.0,2022,1030.9027844015425,historical
40.1,-75.0,2022,1030.9027844015425,historical
40.1,-75.0,2022,1030.9027844015425,historical
40.1,-75.0,2022,1030.9027844015425,historical
40.1,-75.0,2022,1030.9027844015425,historical
40.1,-75.0,2022,1030.9027844015425,historical
40.1,-75.0,2022,1030.9027844015425,historical
40.1,-74.9,2022,615.1150324505309,historical
40.1,-74.9,2022,615.1150324505309,historical
40.1,-74.9,2022,615.1150324505309,historical
40.1,-74.9,2022,615.1150324505309,historical
40.1,-74.9,2022,615.1150324505309,historical
40.1,-74.9,2022,615.1150324505309,historical
40.1,-74.9,2022,615.1150324505309,historical
40.1,-74.9,2022,615.1150324505309,historical
40.2,-75.5,2022,254.00284380961767,historical
40.2,-75.5,2022,254.00284380961767,historical
40.2,-75.5,2022,254.00284380961767,historical
40.2,-75.5,2022,254.00284380961767,historical
40.2,-75.5,2022,254.00284380961767,historical
40.2,-75.5,2022,254.00284380961767,historical
40.2,-75.5,2022,254.00284380961767,historical
40.2,-75.5,2022,254.00284380961767,historical
40.2,-75.2,2022,194.8437169217178,historical
40.2,-75.2,2022,194.8437169217178,historical
40.2,-75.2,2022,194.8437169217178,historical
40.2,-75.2,2022,194.8437169217178,historical
40.2,-75.2,2022,194.8437169217178,historical
40.2,-75.2,2022,194.8437169217178,historical
40.2,-75.2,2022,194.8437169217178,historical
40.2,-75.2,2022,194.8437169217178,historical
