latitude,longitude,year,total_wood_chucked_lbs,type
39.9,-75.6,2018,0.0,historical
39.9,-75.4,2018,0.0,historical
39.9,-75.3,2018,0.0,historical
39.9,-75.2,2018,0.0,historical
40.0,-80.0,2018,296.0907669251868,historical
40.0,-78.6,2018,2223.07579556973,historical
40.0,-78.2,2018,930.1259357795954,historical
40.0,-76.8,2018,13264.735821266728,historical
40.0,-75.2,2018,0.0,historical
40.0,-75.1,2018,0.0,historical
40.1,-76.4,2018,4967.15602752026,historical
40.1,-76.3,2018,36333.33282212165,historical
40.1,-75.5,2018,0.0,historical
40.1,-75.3,2018,0.0,historical
40.1,-75.2,2018,0.0,historical
40.2,-76.0,2018,9.299468349076871,historical
40.2,-75.8,2018,0.0,historical
40.2,-75.5,2018,0.0,historical
40.2,-75.2,2018,0.0,historical
40.3,-80.2,2018,1508.131807830816,historical
40.3,-80.0,2018,2733.1645504448597,historical
40.3,-79.9,2018,2802.2182693080604,historical
40.3,-79.4,2018,13194.085693670266,historical
40.3,-76.6,2018,560.3704636014572,historical
40.3,-75.2,2018,0.0,historical
40.4,-80.1,2018,11290.838419048629,historical
40.4,-80.0,2018,64872.29299879364,historical
40.4,-79.9,2018,20874.55535095765,historical
40.4,-79.8,2018,8494.152472346384,historical
40.4,-79.0,2018,479.3858712711446,historical
40.5,-80.1,2018,7876.747852722908,historical
40.5,-80.0,2018,18079.850707650887,historical
40.6,-80.2,2018,9001.761368995092,historical
40.6,-75.5,2018,6251.610650761137,historical
40.7,-80.0,2018,2547.803758638769,historical
40.7,-79.9,2018,1952.888353306144,historical
40.7,-79.6,2018,341.87199335791564,historical
40.7,-79.5,2018,1840.29590133158,historical
40.8,-77.9,2018,28374.51199484683,historical
40.8,-77.8,2018,1201.8736221773052,historical
41.0,-75.2,2018,2481.1928723409683,historical
41.1,-77.6,2018,1851.7239146583336,historical
41.2,-79.8,2018,137.96976874801592,historical
41.5,-75.7,2018,3626.5971950922735,historical
41.8,-79.1,2018,12263.587779156713,historical
41.8,-76.8,2018,1971.2944121422424,historical
41.9,-79.2,2018,488.3885619398795,historical
42.2,-79.9,2018,1093.26874778835,historical
39.7,-76.1,2019,277.16050890088155,historical
39.8,-79.9,2019,3551.493873355463,historical
39.8,-77.4,2019,3580.870400089177,historical
39.8,-75.9,2019,441.3044289065556,historical
39.9,-79.6,2019,1244.8485695162346,historical
39.9,-76.7,2019,14199.399596711366,historical
39.9,-75.7,2019,896.3817867952795,historical
39.9,-75.6,2019,3712.907716883605,historical
39.9,-75.4,2019,10192.157680630453,historical
39.9,-75.3,2019,7792.510156226162,historical
39.9,-75.2,2019,12807.187942515562,historical
40.0,-80.0,2019,10636.715499342974,forecast
40.0,-78.6,2019,10636.715499342974,forecast
40.0,-78.2,2019,10636.715499342974,forecast
40.0,-76.0,2019,341.0892495169644,historical
40.0,-75.3,2019,8521.828597273645,historical
40.0,-75.2,2019,28053.09743723842,historical
40.1,-79.6,2019,4535.937994906511,historical
40.1,-77.0,2019,0.0,historical
40.1,-76.3,2019,23542.008404013464,historical
40.1,-75.4,2019,3929.698184674756,historical
40.1,-75.3,2019,4096.304969240823,historical
40.1,-75.2,2019,5967.064411376812,historical
40.1,-75.1,2019,6420.315524538618,historical
40.1,-75.0,2019,6561.050508806688,historical
40.1,-74.9,2019,3914.821899503408,historical
40.2,-76.2,2019,1727.9699325501365,historical
40.2,-75.5,2019,1616.5690042081767,historical
40.2,-75.3,2019,5884.198556892935,historical
40.2,-75.2,2019,1240.0582163420434,historical
40.2,-75.1,2019,4460.602745495695,historical
40.3,-80.1,2019,22887.725262298103,historical
40.3,-80.0,2019,37196.036821064205,historical
40.3,-78.2,2019,0.0,historical
40.3,-76.2,2019,214.54570864764776,historical
40.3,-75.9,2019,3644.842054040789,historical
40.3,-75.6,2019,2434.878828927738,historical
40.3,-75.2,2019,804.9173633888342,historical
40.4,-80.1,2019,35593.252248348595,historical
40.4,-80.0,2019,204503.49238364171,historical
40.4,-79.9,2019,65804.97272242032,historical
40.4,-79.0,2019,12763.838188987294,forecast
40.4,-75.4,2019,2966.658465346992,historical
40.5,-80.1,2019,24830.669150805883,historical
40.5,-80.0,2019,56994.94253360552,historical
40.6,-80.0,2019,12474.33979929051,historical
40.6,-77.4,2019,1917.100402081517,historical
40.6,-76.0,2019,10.044345998045577,historical
40.6,-75.4,2019,18711.150466688123,historical
40.6,-75.3,2019,2116.9556353410794,historical
40.7,-78.6,2019,137.86820475488614,historical
40.7,-78.5,2019,1406.858773967797,historical
40.7,-75.4,2019,7165.246411422562,historical
40.7,-75.3,2019,13338.47297098794,historical
40.7,-75.2,2019,25799.88040936342,historical
40.8,-79.8,2019,2124.6021503265542,historical
40.8,-79.5,2019,4887.867918064074,historical
40.8,-77.9,2019,49306.200947671714,historical
40.8,-77.8,2019,2088.487806928366,historical
40.8,-76.4,2019,2112.3785210133933,historical
40.8,-75.4,2019,2014.754060887569,historical
40.8,-75.3,2019,1048.2396986128067,historical
40.9,-80.0,2019,354.08170740641265,historical
40.9,-77.8,2019,11192.58675239298,historical
40.9,-76.6,2019,907.649822937379,historical
40.9,-75.7,2019,3329.1344209174063,historical
41.0,-76.5,2019,323.55742228517016,historical
41.0,-75.1,2019,152.6737052468961,historical
41.1,-80.4,2019,354.08170740641265,historical
41.1,-80.0,2019,313.8150277595864,historical
41.1,-76.7,2019,654.6521068564098,historical
41.2,-79.8,2019,354.08170740641265,historical
41.2,-79.5,2019,1592.4252348945165,historical
41.3,-75.9,2019,24323.01735714744,historical
41.3,-75.8,2019,13562.691406067112,historical
41.5,-80.0,2019,178.7313153281542,historical
41.6,-80.2,2019,488.38856193987937,historical
41.8,-79.1,2019,129.4595980562137,forecast
41.9,-79.2,2019,1591.6182061969996,forecast
42.2,-79.9,2019,1591.6182061969998,forecast
39.7,-76.1,2020,1518.6484316558003,forecast
39.8,-79.9,2020,1807.5940286775733,forecast
39.8,-77.4,2020,1807.594028677573,forecast
39.8,-77.2,2020,8093.963043431716,historical
39.8,-77.0,2020,75874.81740986097,historical
39.8,-75.9,2020,1518.6484316558003,forecast
39.8,-75.4,2020,36980.22809108799,historical
39.8,-75.3,2020,843.6912407511417,historical
39.9,-79.6,2020,1740.4070768877957,historical
39.9,-76.4,2020,2870.651071276749,historical
39.9,-75.6,2020,65361.898446979794,historical
